Experiment Metadata
Client Count,4
Auto Run Rounds,50
Clients Epochs(round),5
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 12500, 'val': 1250, 'test': 1250}"
Best Round,50
Best Accuracy,89.03999999999999
Duration of time,3 h 20 min 37 sec

Round,Accuracy (%),Client Count
1,71.67999999999999,4
2,79.52,4
3,84.16,4
4,84.64,4
5,86.88,4
6,86.56,4
7,85.6,4
8,86.72,4
9,86.48,4
10,86.48,4
11,86.88,4
12,86.8,4
13,87.2,4
14,87.36,4
15,86.16,4
16,86.96000000000001,4
17,86.0,4
18,88.16000000000001,4
19,86.48,4
20,87.68,4
21,88.24,4
22,88.24,4
23,87.36,4
24,86.96000000000001,4
25,87.76,4
26,88.64,4
27,86.72,4
28,86.88,4
29,87.12,4
30,87.52,4
31,87.36,4
32,86.96000000000001,4
33,87.12,4
34,86.88,4
35,86.0,4
36,87.44,4
37,87.52,4
38,86.96000000000001,4
39,87.92,4
40,88.8,4
41,87.28,4
42,87.76,4
43,88.48,4
44,88.0,4
45,88.88000000000001,4
46,87.92,4
47,88.32,4
48,88.8,4
49,88.4,4
50,89.03999999999999,4
