Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),5
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 10000, 'val': 1000, 'test': 1000}"
Best Round,35
Best Accuracy,87.1
Duration of time,2 h 54 min 56 sec

Round,Accuracy (%),Client Count
1,64.5,5
2,73.6,5
3,78.8,5
4,81.3,5
5,82.0,5
6,83.0,5
7,83.1,5
8,84.7,5
9,82.3,5
10,83.3,5
11,84.7,5
12,84.8,5
13,85.39999999999999,5
14,85.2,5
15,84.7,5
16,84.89999999999999,5
17,85.39999999999999,5
18,85.1,5
19,86.5,5
20,85.1,5
21,86.1,5
22,85.5,5
23,85.9,5
24,86.2,5
25,84.89999999999999,5
26,85.0,5
27,85.2,5
28,86.0,5
29,85.6,5
30,86.3,5
31,86.3,5
32,85.39999999999999,5
33,85.7,5
34,86.5,5
35,87.1,5
36,86.5,5
37,85.7,5
38,85.6,5
39,86.1,5
40,86.9,5
41,86.3,5
42,86.3,5
43,86.6,5
44,85.3,5
45,86.5,5
46,86.7,5
47,86.6,5
48,86.4,5
49,86.6,5
50,87.0,5
