Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),2
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 25000, 'val': 2500, 'test': 2500}"
Best Round,46
Best Accuracy,86.0
Duration of time,3 h 17 min 51 sec

Round,Accuracy (%),Client Count
1,73.28,5
2,80.84,5
3,82.67999999999999,5
4,83.39999999999999,5
5,83.72,5
6,83.48,5
7,84.64,5
8,83.6,5
9,84.52,5
10,83.0,5
11,83.56,5
12,83.12,5
13,83.72,5
14,84.2,5
15,84.24000000000001,5
16,84.92,5
17,84.72,5
18,84.8,5
19,84.0,5
20,84.08,5
21,84.8,5
22,85.24000000000001,5
23,84.76,5
24,85.36,5
25,84.68,5
26,85.04,5
27,85.24000000000001,5
28,83.96000000000001,5
29,84.92,5
30,85.0,5
31,85.0,5
32,85.8,5
33,84.84,5
34,84.48,5
35,85.2,5
36,85.32,5
37,85.24000000000001,5
38,85.44,5
39,84.76,5
40,85.72,5
41,85.52,5
42,85.48,5
43,84.56,5
44,85.44,5
45,85.28,5
46,86.0,5
47,84.64,5
48,84.72,5
49,84.76,5
50,84.96000000000001,5
