Experiment Metadata
Client Count,5
Auto Run Rounds,50
Clients Epochs(round),2
model,resnet18
Dataset,CIFAR-10
Data Size,"{'train': 10000, 'val': 1000, 'test': 1000}"
Best Round,50
Best Accuracy,88.1
Duration of time,2 h 59 min 55 sec

Round,Accuracy (%),Client Count
1,65.4,5
2,76.9,5
3,81.2,5
4,81.39999999999999,5
5,81.6,5
6,84.0,5
7,83.8,5
8,84.1,5
9,85.2,5
10,85.39999999999999,5
11,84.39999999999999,5
12,85.0,5
13,86.0,5
14,84.5,5
15,85.5,5
16,86.5,5
17,86.2,5
18,84.8,5
19,85.5,5
20,84.3,5
21,85.9,5
22,85.39999999999999,5
23,85.6,5
24,85.2,5
25,85.8,5
26,87.0,5
27,86.3,5
28,86.5,5
29,86.0,5
30,86.5,5
31,85.5,5
32,85.9,5
33,86.4,5
34,85.9,5
35,86.2,5
36,85.5,5
37,87.1,5
38,87.5,5
39,86.9,5
40,87.1,5
41,86.0,5
42,87.0,5
43,86.7,5
44,87.1,5
45,86.5,5
46,86.4,5
47,87.2,5
48,87.3,5
49,86.7,5
50,88.1,5
